Epoch 380, loss: 6.512
Epoch 381, loss: 6.100
Epoch 382, loss: 6.176
Epoch 383, loss: 7.238
Epoch 384, loss: 5.987
Epoch 385, loss: 7.864
Epoch 386, loss: 10.153
Epoch 387, loss: 15.797
Epoch 388, loss: 6.814
Epoch 389, loss: 5.697
Epoch 390, loss: 6.729
Epoch 391, loss: 7.150
Epoch 392, loss: 7.504
Epoch 393, loss: 7.361
Epoch 394, loss: 7.494
Epoch 395, loss: 7.224
Epoch 396, loss: 8.429
Epoch 397, loss: 10.073
Epoch 398, loss: 10.726
Epoch 399, loss: 7.719
Epoch 400, loss: 5.610
Epoch 401, loss: 5.940
Epoch 402, loss: 7.018
Epoch 403, loss: 7.699
Epoch 404, loss: 7.282
Epoch 405, loss: 6.458
Epoch 406, loss: 6.363
Epoch 407, loss: 6.798
Epoch 408, loss: 5.469
Epoch 409, loss: 6.002
Epoch 410, loss: 9.993
Epoch 411, loss: 7.418
Epoch 412, loss: 5.455
Epoch 413, loss: 4.966
Epoch 414, loss: 4.763
Epoch 415, loss: 4.987
Epoch 416, loss: 7.963
Epoch 417, loss: 6.879
Epoch 418, loss: 5.418
Epoch 419, loss: 5.359
Epoch 420, loss: 5.184
Epoch 421, loss: 5.012
Epoch 422, loss: 6.791
Epoch 423, loss: 5.375
Epoch 424, loss: 5.225
Epoch 425, loss: 5.722
Epoch 426, loss: 5.267
Epoch 427, loss: 5.205
Epoch 428, loss: 8.413
Epoch 429, loss: 7.258
Epoch 430, loss: 6.086
Epoch 431, loss: 5.304
Epoch 432, loss: 5.789
Epoch 433, loss: 6.360
Epoch 434, loss: 7.659
Epoch 435, loss: 5.926
Epoch 436, loss: 5.332
Epoch 437, loss: 6.677
Epoch 438, loss: 4.615
Epoch 439, loss: 5.515
Epoch 440, loss: 4.917
Epoch 441, loss: 5.411
Epoch 442, loss: 6.159
Epoch 443, loss: 5.156
Epoch 444, loss: 4.885
Epoch 445, loss: 6.182
Epoch 446, loss: 6.449
Epoch 447, loss: 8.473
Epoch 448, loss: 6.933
Epoch 449, loss: 5.113
Epoch 450, loss: 5.262
Epoch 451, loss: 4.924
Epoch 452, loss: 7.912
Epoch 453, loss: 5.813
Epoch 454, loss: 6.150
Epoch 455, loss: 7.936
Epoch 456, loss: 7.826
Epoch 457, loss: 6.197
Epoch 458, loss: 6.182
Epoch 459, loss: 4.941
Epoch 460, loss: 4.802
Epoch 461, loss: 4.771
Epoch 462, loss: 4.231
Epoch 463, loss: 4.780
Epoch 464, loss: 6.246
Epoch 465, loss: 5.565
Epoch 466, loss: 5.200
Epoch 467, loss: 4.943
Epoch 468, loss: 5.715
Epoch 469, loss: 4.976
Epoch 470, loss: 4.911
Epoch 471, loss: 5.110
Epoch 472, loss: 5.130
Epoch 473, loss: 4.758
Epoch 474, loss: 5.168
Epoch 475, loss: 5.437
Epoch 476, loss: 4.267
Epoch 477, loss: 4.725
Epoch 478, loss: 6.124
Epoch 479, loss: 4.667
Epoch 480, loss: 5.032
Epoch 481, loss: 4.635
Epoch 482, loss: 5.860
Epoch 483, loss: 5.003
Epoch 484, loss: 5.665
Epoch 485, loss: 4.625
Epoch 486, loss: 6.182
Epoch 487, loss: 4.321
Epoch 488, loss: 5.081
Epoch 489, loss: 3.998
Epoch 490, loss: 4.077
Epoch 491, loss: 4.276
Epoch 492, loss: 7.472
Epoch 493, loss: 5.424
Epoch 494, loss: 5.110
Epoch 495, loss: 4.230
Epoch 496, loss: 4.054
Epoch 497, loss: 5.353
Epoch 498, loss: 5.933
Epoch 499, loss: 4.198
Epoch 500, loss: 4.599
Epoch 501, loss: 5.061
Epoch 502, loss: 5.426
Epoch 503, loss: 13.505
Epoch 504, loss: 9.968
Epoch 505, loss: 6.680
Epoch 506, loss: 4.356
Epoch 507, loss: 4.014
Epoch 508, loss: 3.839
Epoch 509, loss: 4.413
Epoch 510, loss: 3.936
Epoch 511, loss: 4.882
Epoch 512, loss: 3.502
Epoch 513, loss: 3.582
Epoch 514, loss: 4.236
Epoch 515, loss: 5.268
Epoch 516, loss: 3.987
Epoch 517, loss: 4.443
Epoch 518, loss: 4.598
Epoch 519, loss: 4.569
Epoch 520, loss: 3.867
Epoch 521, loss: 4.211
Epoch 522, loss: 4.087
Epoch 523, loss: 3.494
Epoch 524, loss: 4.611
Epoch 525, loss: 4.585
Epoch 526, loss: 4.554
Epoch 527, loss: 4.460
Epoch 528, loss: 3.851
Epoch 529, loss: 4.077
Epoch 530, loss: 4.068
Epoch 531, loss: 3.779
Epoch 532, loss: 3.979
